GOID	TERM
167	GO:0000255	allantoin metabolic process
168	GO:0000256	allantoin catabolic process
171	GO:0000266	mitochondrial fission
174	GO:0000270	peptidoglycan metabolic process
175	GO:0000271	polysaccharide biosynthetic process
176	GO:0000272	polysaccharide catabolic process
179	GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
181	GO:0000278	mitotic cell cycle
183	GO:0000280	nuclear division
184	GO:0000281	mitotic cytokinesis
188	GO:0000287	magnesium ion binding
189	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
190	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening
191	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
192	GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic
194	GO:0000293	ferric-chelate reductase activity
196	GO:0000295	adenine nucleotide transmembrane transporter activity
201	GO:0000302	response to reactive oxygen species
208	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
212	GO:0000313	organellar ribosome
213	GO:0000314	organellar small ribosomal subunit
214	GO:0000315	organellar large ribosomal subunit
220	GO:0000323	lytic vacuole
231	GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
235	GO:0000338	protein deneddylation
236	GO:0000339	RNA cap binding
237	GO:0000340	RNA 7-methylguanosine cap binding
243	GO:0000346	transcription export complex
244	GO:0000347	THO complex
246	GO:0000349	generation of catalytic spliceosome for first transesterification step
247	GO:0000350	generation of catalytic spliceosome for second transesterification step
256	GO:0000375	RNA splicing, via transesterification reactions
258	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
260	GO:0000379	tRNA-type intron splice site recognition and cleavage
261	GO:0000380	alternative mRNA splicing, via spliceosome
262	GO:0000381	regulation of alternative mRNA splicing, via spliceosome
264	GO:0000386	second spliceosomal transesterification activity
265	GO:0000387	spliceosomal snRNP assembly
269	GO:0000393	spliceosomal conformational changes to generate catalytic conformation
270	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
272	GO:0000398	mRNA splicing, via spliceosome
281	GO:0000407	phagophore assembly site
282	GO:0000408	EKC/KEOPS complex
294	GO:0000421	autophagosome membrane
295	GO:0000422	autophagy of mitochondrion
301	GO:0000428	DNA-directed RNA polymerase complex
312	GO:0000439	transcription factor TFIIH core complex
315	GO:0000445	THO complex part of transcription export complex
321	GO:0000451	rRNA 2'-O-methylation
323	GO:0000453	enzyme-directed rRNA 2'-O-methylation
325	GO:0000455	enzyme-directed rRNA pseudouridine synthesis
329	GO:0000460	maturation of 5.8S rRNA
331	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
332	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
335	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
338	GO:0000469	cleavage involved in rRNA processing
339	GO:0000470	maturation of LSU-rRNA
366	GO:0000502	proteasome complex
367	GO:0000506	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex
368	GO:0000578	embryonic axis specification
369	GO:0000700	mismatch base pair DNA N-glycosylase activity
380	GO:0000711	meiotic DNA repair synthesis
381	GO:0000712	resolution of meiotic recombination intermediates
392	GO:0000723	telomere maintenance
393	GO:0000724	double-strand break repair via homologous recombination
394	GO:0000725	recombinational repair
397	GO:0000730	DNA recombinase assembly
398	GO:0000731	DNA synthesis involved in DNA repair
402	GO:0000737	DNA catabolic process, endonucleolytic
428	GO:0000768	syncytium formation by plasma membrane fusion
433	GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity
434	GO:0000774	adenyl-nucleotide exchange factor activity
435	GO:0000775	chromosome, centromeric region
436	GO:0000776	kinetochore
437	GO:0000779	condensed chromosome, centromeric region
438	GO:0000781	chromosome, telomeric region
439	GO:0000782	telomere cap complex
440	GO:0000783	nuclear telomere cap complex
441	GO:0000785	chromatin
442	GO:0000786	nucleosome
443	GO:0000791	euchromatin
445	GO:0000793	condensed chromosome
446	GO:0000794	condensed nuclear chromosome
447	GO:0000795	synaptonemal complex
448	GO:0000796	condensin complex
458	GO:0000808	origin recognition complex
460	GO:0000810	diacylglycerol diphosphate phosphatase activity
461	GO:0000811	GINS complex
463	GO:0000813	ESCRT I complex
464	GO:0000814	ESCRT II complex
465	GO:0000815	ESCRT III complex
468	GO:0000819	sister chromatid segregation
475	GO:0000827	inositol-1,3,4,5,6-pentakisphosphate kinase activity
476	GO:0000828	inositol hexakisphosphate kinase activity
477	GO:0000829	inositol heptakisphosphate kinase activity
480	GO:0000832	inositol hexakisphosphate 5-kinase activity
483	GO:0000835	ER ubiquitin ligase complex
484	GO:0000836	Hrd1p ubiquitin ligase complex
488	GO:0000900	translation repressor activity, mRNA regulatory element binding
490	GO:0000902	cell morphogenesis
491	GO:0000904	cell morphogenesis involved in differentiation
497	GO:0000910	cytokinesis
499	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
502	GO:0000915	actomyosin contractile ring assembly
509	GO:0000922	spindle pole
511	GO:0000930	gamma-tubulin complex
513	GO:0000932	P-body
519	GO:0000938	GARP complex
521	GO:0000940	outer kinetochore
532	GO:0000956	nuclear-transcribed mRNA catabolic process
535	GO:0000959	mitochondrial RNA metabolic process
542	GO:0000966	RNA 5'-end processing
550	GO:0000974	Prp19 complex
551	GO:0000976	transcription cis-regulatory region binding
552	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding
553	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding
555	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific
559	GO:0000987	cis-regulatory region sequence-specific DNA binding
563	GO:0000995	RNA polymerase III general transcription initiation factor activity
578	GO:0001046	core promoter sequence-specific DNA binding
585	GO:0001055	RNA polymerase II activity
594	GO:0001067	transcription regulatory region nucleic acid binding
613	GO:0001101	response to acid chemical
641	GO:0001163	RNA polymerase I transcription regulatory region sequence-specific DNA binding
642	GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding
667	GO:0001216	DNA-binding transcription activator activity
668	GO:0001217	DNA-binding transcription repressor activity
672	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific
673	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific
680	GO:0001401	SAM complex
690	GO:0001501	skeletal system development
691	GO:0001502	cartilage condensation
692	GO:0001503	ossification
694	GO:0001505	regulation of neurotransmitter levels
696	GO:0001508	action potential
697	GO:0001510	RNA methylation
701	GO:0001516	prostaglandin biosynthetic process
703	GO:0001518	voltage-gated sodium channel complex
706	GO:0001522	pseudouridine synthesis
707	GO:0001523	retinoid metabolic process
708	GO:0001525	angiogenesis
709	GO:0001527	microfibril
710	GO:0001530	lipopolysaccharide binding
713	GO:0001533	cornified envelope
718	GO:0001539	cilium or flagellum-dependent cell motility
719	GO:0001540	amyloid-beta binding
720	GO:0001541	ovarian follicle development
735	GO:0001556	oocyte maturation
736	GO:0001558	regulation of cell growth
744	GO:0001568	blood vessel development
745	GO:0001569	branching involved in blood vessel morphogenesis
746	GO:0001570	vasculogenesis
749	GO:0001573	ganglioside metabolic process
753	GO:0001578	microtubule bundle formation
754	GO:0001579	medium-chain fatty acid transport
764	GO:0001595	angiotensin receptor activity
768	GO:0001604	urotensin II receptor activity
770	GO:0001607	neuromedin U receptor activity
772	GO:0001609	G protein-coupled adenosine receptor activity
773	GO:0001614	purinergic nucleotide receptor activity
775	GO:0001618	virus receptor activity
777	GO:0001626	nociceptin receptor activity
782	GO:0001637	G protein-coupled chemoattractant receptor activity
789	GO:0001648	proteinase activated receptor activity
790	GO:0001649	osteoblast differentiation
794	GO:0001653	peptide receptor activity
795	GO:0001654	eye development
796	GO:0001655	urogenital system development
804	GO:0001664	G protein-coupled receptor binding
806	GO:0001666	response to hypoxia
807	GO:0001667	ameboidal-type cell migration
808	GO:0001669	acrosomal vesicle
809	GO:0001671	ATPase activator activity
814	GO:0001676	long-chain fatty acid metabolic process
816	GO:0001678	cellular glucose homeostasis
818	GO:0001681	sialate O-acetylesterase activity
819	GO:0001682	tRNA 5'-leader removal
830	GO:0001702	gastrulation with mouth forming second
832	GO:0001704	formation of primary germ layer
833	GO:0001705	ectoderm formation
834	GO:0001706	endoderm formation
835	GO:0001707	mesoderm formation
836	GO:0001708	cell fate specification
837	GO:0001709	cell fate determination
838	GO:0001710	mesodermal cell fate commitment
839	GO:0001711	endodermal cell fate commitment
840	GO:0001712	ectodermal cell fate commitment
842	GO:0001714	endodermal cell fate specification
843	GO:0001715	ectodermal cell fate specification
848	GO:0001726	ruffle
853	GO:0001732	formation of cytoplasmic translation initiation complex
854	GO:0001733	galactosylceramide sulfotransferase activity
855	GO:0001734	mRNA (N6-adenosine)-methyltransferase activity
856	GO:0001735	prenylcysteine oxidase activity
857	GO:0001736	establishment of planar polarity
859	GO:0001738	morphogenesis of a polarized epithelium
864	GO:0001743	lens placode formation
866	GO:0001745	compound eye morphogenesis
869	GO:0001750	photoreceptor outer segment
872	GO:0001754	eye photoreceptor cell differentiation
873	GO:0001755	neural crest cell migration
874	GO:0001756	somitogenesis
875	GO:0001757	somite specification
877	GO:0001759	organ induction
878	GO:0001760	aminocarboxymuconate-semialdehyde decarboxylase activity
881	GO:0001763	morphogenesis of a branching structure
882	GO:0001764	neuron migration
883	GO:0001765	membrane raft assembly
890	GO:0001772	immunological synapse
891	GO:0001773	myeloid dendritic cell activation
893	GO:0001775	cell activation
902	GO:0001784	phosphotyrosine residue binding
904	GO:0001786	phosphatidylserine binding
933	GO:0001816	cytokine production
934	GO:0001817	regulation of cytokine production
935	GO:0001818	negative regulation of cytokine production
936	GO:0001819	positive regulation of cytokine production
939	GO:0001822	kidney development
954	GO:0001837	epithelial to mesenchymal transition
955	GO:0001838	embryonic epithelial tube formation
956	GO:0001839	neural plate morphogenesis
957	GO:0001840	neural plate development
958	GO:0001841	neural tube formation
960	GO:0001843	neural tube closure
962	GO:0001845	phagolysosome assembly
964	GO:0001847	opsonin receptor activity
984	GO:0001867	complement activation, lectin pathway
994	GO:0001878	response to yeast
997	GO:0001881	receptor recycling
998	GO:0001882	nucleoside binding
1001	GO:0001885	endothelial cell development
1005	GO:0001889	liver development
1010	GO:0001894	tissue homeostasis
1011	GO:0001895	retina homeostasis
1018	GO:0001906	cell killing
1028	GO:0001917	photoreceptor inner segment
1030	GO:0001919	regulation of receptor recycling
1043	GO:0001932	regulation of protein phosphorylation
1044	GO:0001933	negative regulation of protein phosphorylation
1045	GO:0001934	positive regulation of protein phosphorylation
1046	GO:0001935	endothelial cell proliferation
1047	GO:0001936	regulation of endothelial cell proliferation
1048	GO:0001937	negative regulation of endothelial cell proliferation
1049	GO:0001938	positive regulation of endothelial cell proliferation
1054	GO:0001944	vasculature development
1055	GO:0001945	lymph vessel development
1056	GO:0001946	lymphangiogenesis
1057	GO:0001947	heart looping
1060	GO:0001952	regulation of cell-matrix adhesion
1063	GO:0001955	blood vessel maturation
1067	GO:0001959	regulation of cytokine-mediated signaling pathway
1068	GO:0001960	negative regulation of cytokine-mediated signaling pathway
1073	GO:0001965	G-protein alpha-subunit binding
1074	GO:0001966	thigmotaxis
1080	GO:0001972	retinoic acid binding
1098	GO:0001990	regulation of systemic arterial blood pressure by hormone
1116	GO:0002009	morphogenesis of an epithelium
1118	GO:0002011	morphogenesis of an epithelial sheet
1127	GO:0002020	protease binding
1134	GO:0002027	regulation of heart rate
1135	GO:0002028	regulation of sodium ion transport
1146	GO:0002039	p53 binding
1147	GO:0002040	sprouting angiogenesis
1149	GO:0002042	cell migration involved in sprouting angiogenesis
1150	GO:0002043	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
1169	GO:0002062	chondrocyte differentiation
1170	GO:0002063	chondrocyte development
1171	GO:0002064	epithelial cell development
1172	GO:0002065	columnar/cuboidal epithelial cell differentiation
1173	GO:0002066	columnar/cuboidal epithelial cell development
1174	GO:0002067	glandular epithelial cell differentiation
1175	GO:0002068	glandular epithelial cell development
1177	GO:0002070	epithelial cell maturation
1179	GO:0002072	optic cup morphogenesis involved in camera-type eye development
1188	GO:0002082	regulation of oxidative phosphorylation
1189	GO:0002083	4-hydroxybenzoate decaprenyltransferase activity
1190	GO:0002084	protein depalmitoylation
1194	GO:0002088	lens development in camera-type eye
1195	GO:0002089	lens morphogenesis in camera-type eye
1199	GO:0002093	auditory receptor cell morphogenesis
1200	GO:0002094	polyprenyltransferase activity
1203	GO:0002097	tRNA wobble base modification
1204	GO:0002098	tRNA wobble uridine modification
1208	GO:0002102	podosome
1242	GO:0002138	retinoic acid biosynthetic process
1247	GO:0002143	tRNA wobble position uridine thiolation
1261	GO:0002159	desmosome assembly
1263	GO:0002161	aminoacyl-tRNA editing activity
1281	GO:0002181	cytoplasmic translation
1282	GO:0002182	cytoplasmic translational elongation
1283	GO:0002183	cytoplasmic translational initiation
1291	GO:0002191	cap-dependent translational initiation
1299	GO:0002200	somatic diversification of immune receptors
1314	GO:0002218	activation of innate immune response
1316	GO:0002221	pattern recognition receptor signaling pathway
1319	GO:0002224	toll-like receptor signaling pathway
1324	GO:0002230	positive regulation of defense response to virus by host
1331	GO:0002237	response to molecule of bacterial origin
1338	GO:0002244	hematopoietic progenitor cell differentiation
1343	GO:0002250	adaptive immune response
1345	GO:0002252	immune effector process
1346	GO:0002253	activation of immune response
1355	GO:0002262	myeloid cell homeostasis
1356	GO:0002263	cell activation involved in immune response
1367	GO:0002274	myeloid leukocyte activation
1368	GO:0002275	myeloid cell activation involved in immune response
1374	GO:0002281	macrophage activation involved in immune response
1378	GO:0002285	lymphocyte activation involved in immune response
1379	GO:0002286	T cell activation involved in immune response
1380	GO:0002287	alpha-beta T cell activation involved in immune response
1385	GO:0002292	T cell differentiation involved in immune response
1386	GO:0002293	alpha-beta T cell differentiation involved in immune response
1387	GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
1388	GO:0002295	T-helper cell lineage commitment
1413	GO:0002320	lymphoid progenitor cell differentiation
1453	GO:0002360	T cell lineage commitment
1456	GO:0002363	alpha-beta T cell lineage commitment
1459	GO:0002366	leukocyte activation involved in immune response
1460	GO:0002367	cytokine production involved in immune response
1462	GO:0002369	T cell cytokine production
1467	GO:0002376	immune system process
1492	GO:0002407	dendritic cell chemotaxis
1513	GO:0002429	immune response-activating cell surface receptor signaling pathway
1524	GO:0002440	production of molecular mediator of immune response
1527	GO:0002443	leukocyte mediated immunity
1533	GO:0002449	lymphocyte mediated immunity
1539	GO:0002455	humoral immune response mediated by circulating immunoglobulin
1540	GO:0002456	T cell mediated immunity
1544	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
1551	GO:0002467	germinal center formation
1558	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I
1567	GO:0002483	antigen processing and presentation of endogenous peptide antigen
1588	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
1603	GO:0002520	immune system development
1604	GO:0002521	leukocyte differentiation
1605	GO:0002522	leukocyte migration involved in immune response
1606	GO:0002523	leukocyte migration involved in inflammatory response
1609	GO:0002526	acute inflammatory response
1644	GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus
1650	GO:0002568	somatic diversification of T cell receptor genes
1655	GO:0002573	myeloid leukocyte differentiation
1656	GO:0002574	thrombocyte differentiation
1760	GO:0002681	somatic recombination of T cell receptor gene segments
1761	GO:0002682	regulation of immune system process
1762	GO:0002683	negative regulation of immune system process
1763	GO:0002684	positive regulation of immune system process
1764	GO:0002685	regulation of leukocyte migration
1765	GO:0002686	negative regulation of leukocyte migration
1766	GO:0002687	positive regulation of leukocyte migration
1767	GO:0002688	regulation of leukocyte chemotaxis
1768	GO:0002689	negative regulation of leukocyte chemotaxis
1773	GO:0002694	regulation of leukocyte activation
1774	GO:0002695	negative regulation of leukocyte activation
1775	GO:0002696	positive regulation of leukocyte activation
1776	GO:0002697	regulation of immune effector process
1779	GO:0002700	regulation of production of molecular mediator of immune response
1782	GO:0002703	regulation of leukocyte mediated immunity
1785	GO:0002706	regulation of lymphocyte mediated immunity
1788	GO:0002709	regulation of T cell mediated immunity
1797	GO:0002718	regulation of cytokine production involved in immune response
1803	GO:0002724	regulation of T cell cytokine production
1826	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway
1828	GO:0002755	MyD88-dependent toll-like receptor signaling pathway
1829	GO:0002756	MyD88-independent toll-like receptor signaling pathway
1830	GO:0002757	immune response-activating signal transduction
1834	GO:0002761	regulation of myeloid leukocyte differentiation
1836	GO:0002763	positive regulation of myeloid leukocyte differentiation
1837	GO:0002764	immune response-regulating signaling pathway
1841	GO:0002768	immune response-regulating cell surface receptor signaling pathway
1863	GO:0002790	peptide secretion
1864	GO:0002791	regulation of peptide secretion
1866	GO:0002793	positive regulation of peptide secretion
1891	GO:0002819	regulation of adaptive immune response
1894	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
1903	GO:0002831	regulation of response to biotic stimulus
1904	GO:0002832	negative regulation of response to biotic stimulus
1905	GO:0002833	positive regulation of response to biotic stimulus
2005	GO:0002934	desmosome organization
2020	GO:0002949	tRNA threonylcarbamoyladenosine modification
2024	GO:0002953	5'-deoxynucleotidase activity
2025	GO:0003002	regionalization
2029	GO:0003006	developmental process involved in reproduction
2030	GO:0003007	heart morphogenesis
2031	GO:0003008	system process
2032	GO:0003009	skeletal muscle contraction
2033	GO:0003010	voluntary skeletal muscle contraction
2035	GO:0003012	muscle system process
2036	GO:0003013	circulatory system process
2037	GO:0003014	renal system process
2038	GO:0003015	heart process
2041	GO:0003018	vascular process in circulatory system
2067	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal
2096	GO:0003073	regulation of systemic arterial blood pressure
2098	GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin
2110	GO:0003094	glomerular filtration
2137	GO:0003128	heart field specification
2148	GO:0003139	secondary heart field specification
2149	GO:0003140	determination of left/right asymmetry in lateral mesoderm
2151	GO:0003143	embryonic heart tube morphogenesis
2154	GO:0003146	heart jogging
2155	GO:0003147	neural crest cell migration involved in heart formation
2159	GO:0003151	outflow tract morphogenesis
2162	GO:0003154	BMP signaling pathway involved in determination of left/right symmetry
2164	GO:0003156	regulation of animal organ formation
2165	GO:0003157	endocardium development
2166	GO:0003158	endothelium development
2167	GO:0003159	morphogenesis of an endothelium
2168	GO:0003160	endocardium morphogenesis
2169	GO:0003161	cardiac conduction system development
2178	GO:0003170	heart valve development
2179	GO:0003171	atrioventricular valve development
2181	GO:0003173	ventriculo bulbo valve development
2187	GO:0003179	heart valve morphogenesis
2189	GO:0003181	atrioventricular valve morphogenesis
2195	GO:0003187	ventriculo bulbo valve morphogenesis
2196	GO:0003188	heart valve formation
2198	GO:0003190	atrioventricular valve formation
2213	GO:0003205	cardiac chamber development
2214	GO:0003206	cardiac chamber morphogenesis
2215	GO:0003207	cardiac chamber formation
2238	GO:0003230	cardiac atrium development
2239	GO:0003231	cardiac ventricle development
2268	GO:0003260	cardioblast migration
2269	GO:0003261	cardiac muscle progenitor cell migration to the midline involved in heart field formation
2309	GO:0003303	BMP signaling pathway involved in heart jogging
2312	GO:0003306	Wnt signaling pathway involved in heart development
2313	GO:0003307	regulation of Wnt signaling pathway involved in heart development
2314	GO:0003308	negative regulation of Wnt signaling pathway involved in heart development
2315	GO:0003309	type B pancreatic cell differentiation
2316	GO:0003310	pancreatic A cell differentiation
2319	GO:0003313	heart rudiment development
2320	GO:0003314	heart rudiment morphogenesis
2321	GO:0003315	heart rudiment formation
2324	GO:0003318	cell migration to the midline involved in heart development
2325	GO:0003319	cardioblast migration to the midline involved in heart rudiment formation
2329	GO:0003323	type B pancreatic cell development
2336	GO:0003330	regulation of extracellular matrix constituent secretion
2340	GO:0003334	keratinocyte development
2347	GO:0003341	cilium movement
2348	GO:0003342	proepicardium development
2349	GO:0003343	septum transversum development
2354	GO:0003348	cardiac endothelial cell differentiation
2357	GO:0003351	epithelial cilium movement involved in extracellular fluid movement
2358	GO:0003352	regulation of cilium movement
2362	GO:0003356	regulation of cilium beat frequency
2386	GO:0003382	epithelial cell morphogenesis
2405	GO:0003401	axis elongation
2410	GO:0003406	retinal pigment epithelium development
2411	GO:0003407	neural retina development
2420	GO:0003416	endochondral bone growth
2421	GO:0003417	growth plate cartilage development
2423	GO:0003419	growth plate cartilage chondrocyte proliferation
2442	GO:0003674	molecular_function
2443	GO:0003676	nucleic acid binding
2444	GO:0003677	DNA binding
2445	GO:0003678	DNA helicase activity
2448	GO:0003682	chromatin binding
2449	GO:0003684	damaged DNA binding
2450	GO:0003688	DNA replication origin binding
2451	GO:0003689	DNA clamp loader activity
2452	GO:0003690	double-stranded DNA binding
2453	GO:0003691	double-stranded telomeric DNA binding
2457	GO:0003697	single-stranded DNA binding
2458	GO:0003700	DNA-binding transcription factor activity
2459	GO:0003707	steroid hormone receptor activity
2461	GO:0003712	transcription coregulator activity
2462	GO:0003713	transcription coactivator activity
2463	GO:0003714	transcription corepressor activity
2466	GO:0003723	RNA binding
2467	GO:0003724	RNA helicase activity
2468	GO:0003725	double-stranded RNA binding
2469	GO:0003726	double-stranded RNA adenosine deaminase activity
2470	GO:0003727	single-stranded RNA binding
2471	GO:0003729	mRNA binding
2472	GO:0003730	mRNA 3'-UTR binding
2473	GO:0003735	structural constituent of ribosome
2474	GO:0003743	translation initiation factor activity
2475	GO:0003746	translation elongation factor activity
2476	GO:0003747	translation release factor activity
2477	GO:0003755	peptidyl-prolyl cis-trans isomerase activity
2478	GO:0003756	protein disulfide isomerase activity
2479	GO:0003774	cytoskeletal motor activity
2480	GO:0003777	microtubule motor activity
2481	GO:0003779	actin binding
2482	GO:0003785	actin monomer binding
2484	GO:0003796	lysozyme activity
2485	GO:0003810	protein-glutamine gamma-glutamyltransferase activity
2486	GO:0003823	antigen binding
2487	GO:0003824	catalytic activity
2496	GO:0003834	beta-carotene 15,15'-dioxygenase activity
2501	GO:0003839	gamma-glutamylcyclotransferase activity
2502	GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
2503	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
2505	GO:0003844	1,4-alpha-glucan branching enzyme activity
2508	GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
2515	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
2518	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
2521	GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
2524	GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
2526	GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
2528	GO:0003867	4-aminobutyrate transaminase activity
2529	GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
2530	GO:0003870	5-aminolevulinate synthase activity
2532	GO:0003872	6-phosphofructokinase activity
2533	GO:0003873	6-phosphofructo-2-kinase activity
2535	GO:0003875	ADP-ribosylarginine hydrolase activity
2536	GO:0003876	AMP deaminase activity
2538	GO:0003878	ATP citrate synthase activity
2540	GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
2541	GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
2543	GO:0003883	CTP synthase activity
2544	GO:0003884	D-amino-acid oxidase activity
2546	GO:0003886	DNA (cytosine-5-)-methyltransferase activity
2547	GO:0003887	DNA-directed DNA polymerase activity
2548	GO:0003896	DNA primase activity
2549	GO:0003899	DNA-directed 5'-3' RNA polymerase activity
2550	GO:0003904	deoxyribodipyrimidine photo-lyase activity
2551	GO:0003905	alkylbase DNA N-glycosylase activity
2552	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
2553	GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
2554	GO:0003909	DNA ligase activity
2555	GO:0003910	DNA ligase (ATP) activity
2558	GO:0003913	DNA photolyase activity
2560	GO:0003916	DNA topoisomerase activity
2561	GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
2562	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
2564	GO:0003920	GMP reductase activity
2567	GO:0003923	GPI-anchor transamidase activity
2568	GO:0003924	GTPase activity
2569	GO:0003925	G protein activity
